Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-27.051165,-2.051165000000001
200000000.0,-27.363787,-2.3637869999999985
300000000.0,-25.80648,-0.8064800000000005
400000000.0,-25.553604,-0.553604
500000000.0,-25.36227,-0.36226999999999876
600000000.0,-25.45877,-0.45877000000000123
700000000.0,-25.31371,-0.3137100000000004
800000000.0,-25.54241,-0.5424100000000003
900000000.0,-25.540634,-0.5406340000000007
1000000000.0,-26.333683,-1.3336830000000006
1100000000.0,-26.699522,-1.6995220000000018
1200000000.0,-27.244776,-2.2447760000000017
1300000000.0,-27.923882,-2.923881999999999
1400000000.0,-28.600994,-3.600994
1500000000.0,-29.124222,-4.124222
1600000000.0,-30.440891,-5.440891000000001
1700000000.0,-32.26634,-7.26634
1800000000.0,-34.703796,-9.703795999999997
1900000000.0,-35.72226,-10.722259999999999
2000000000.0,-39.119522,-14.119522000000003
2100000000.0,-41.41367,-16.413670000000003
2200000000.0,-32.910442,-7.910442000000003
2300000000.0,-35.619366,-10.619366
2400000000.0,-35.47611,-10.476109999999998
2500000000.0,-37.54881,-12.548810000000003
2600000000.0,-41.466507,-16.466507
2700000000.0,-43.61175,-18.61175
2800000000.0,-55.822582,-30.822581999999997
2900000000.0,-60.09039,-35.09039
3000000000.0,-62.760727,-37.760727
3100000000.0,-64.469154,-39.469154
3200000000.0,-65.7793,-40.779300000000006
3300000000.0,-65.801254,-40.801254
3400000000.0,-65.53742,-40.53742
3500000000.0,-64.06537,-39.06537
3600000000.0,-63.2728,-38.2728
3700000000.0,-62.919113,-37.919113
3800000000.0,-62.98916,-37.98916
3900000000.0,-63.33606,-38.33606
4000000000.0,-63.91121,-38.91121
4100000000.0,-64.53151,-39.53151
4200000000.0,-65.048294,-40.048294
4300000000.0,-65.33586,-40.33586
4400000000.0,-65.50013,-40.50013
4500000000.0,-65.60345,-40.603449999999995
4600000000.0,-65.38446,-40.384460000000004
4700000000.0,-65.2663,-40.2663
4800000000.0,-64.57437,-39.57437
4900000000.0,-65.17982,-40.17982000000001
5000000000.0,-65.76421,-40.764210000000006
5100000000.0,-65.33333,-40.333330000000004
5200000000.0,-66.11189,-41.11189
5300000000.0,-66.203476,-41.203475999999995
5400000000.0,-66.301735,-41.301734999999994
5500000000.0,-66.93384,-41.933840000000004
5600000000.0,-66.60632,-41.60632
5700000000.0,-66.576004,-41.576004
5800000000.0,-66.91598,-41.915980000000005
5900000000.0,-66.8398,-41.8398

Promedio,-49.32177444067798,-24.321774440677967
Desviación,17.26853610989263,17.26853610989263
Varianza,298.20233937866567,298.20233937866567
